employee_id,department,Location,Supervisor,date,punchin1,punchout1,punchin2,punchout2,punchin3,punchout3
40,ADMINISTRATION,SD,Joseph,2/23/24,2/23/24 7:33,2/23/24 11:46,2/23/24 12:20,2/23/24 16:15,,
40,ADMINISTRATION,SD,Joseph,7/12/24,7/12/24 7:30,7/12/24 11:51,7/12/24 12:27,7/12/24 16:05,,
40,ADMINISTRATION,SD,Joseph,4/9/24,4/9/24 7:34,4/9/24 11:48,4/9/24 12:19,4/9/24 15:59,,
40,ADMINISTRATION,SD,Joseph,8/29/24,8/29/24 7:36,8/29/24 11:53,8/29/24 12:23,8/29/24 16:04,,
40,ADMINISTRATION,SD,Joseph,2/7/24,2/7/24 7:30,2/7/24 11:50,2/7/24 12:24,2/7/24 15:58,,
40,ADMINISTRATION,SD,Joseph,3/11/24,3/11/24 7:28,3/11/24 11:47,3/11/24 12:20,3/11/24 15:59,,
40,ADMINISTRATION,SD,Joseph,5/3/24,5/3/24 7:39,5/3/24 11:51,5/3/24 12:22,5/3/24 16:02,,
40,ADMINISTRATION,SD,Joseph,6/24/24,6/24/24 7:32,6/24/24 11:51,6/24/24 12:22,6/24/24 16:06,,
40,ADMINISTRATION,SD,Joseph,6/11/24,6/11/24 7:32,6/11/24 11:55,6/11/24 12:27,6/11/24 16:15,,
40,ADMINISTRATION,SD,Joseph,5/1/24,5/1/24 7:37,5/1/24 11:48,5/1/24 12:21,5/1/24 16:03,,
40,ADMINISTRATION,SD,Joseph,5/21/24,5/21/24 7:37,5/21/24 11:53,5/21/24 12:23,5/21/24 16:06,,
40,ADMINISTRATION,SD,Joseph,2/13/24,2/13/24 7:32,2/13/24 11:48,2/13/24 12:22,2/13/24 16:00,,
40,ADMINISTRATION,SD,Joseph,7/19/24,7/19/24 7:36,7/19/24 11:52,7/19/24 12:25,7/19/24 16:04,,
40,ADMINISTRATION,SD,Joseph,7/1/24,7/1/24 7:32,7/1/24 11:53,7/1/24 12:26,7/1/24 16:02,,
40,ADMINISTRATION,SD,Joseph,2/16/24,2/16/24 7:32,2/16/24 11:48,2/16/24 12:24,2/16/24 16:04,,
40,ADMINISTRATION,SD,Joseph,5/31/24,5/31/24 7:35,5/31/24 11:54,5/31/24 12:26,5/31/24 16:07,,
40,ADMINISTRATION,SD,Joseph,4/26/24,4/26/24 7:40,4/26/24 11:51,4/26/24 12:21,4/26/24 16:02,,
40,ADMINISTRATION,SD,Joseph,6/7/24,6/7/24 7:42,6/7/24 11:53,6/7/24 12:23,6/7/24 16:08,,
40,ADMINISTRATION,SD,Joseph,3/15/24,3/15/24 7:28,3/15/24 11:55,3/15/24 12:21,3/15/24 15:59,,
40,ADMINISTRATION,SD,Joseph,1/16/24,1/16/24 8:30,1/16/24 12:30,1/16/24 13:00,1/16/24 17:00,,
40,ADMINISTRATION,SD,Joseph,1/31/24,1/31/24 7:28,1/31/24 11:48,1/31/24 12:20,1/31/24 15:59,,
40,ADMINISTRATION,SD,Joseph,7/31/24,7/31/24 7:35,7/31/24 11:54,7/31/24 12:26,7/31/24 16:07,,
40,ADMINISTRATION,SD,Joseph,9/25/24,9/25/24 7:39,9/25/24 12:00,9/25/24 12:34,9/25/24 16:02,,
40,ADMINISTRATION,SD,Joseph,5/2/24,5/2/24 7:41,5/2/24 11:52,5/2/24 12:25,5/2/24 16:00,,
40,ADMINISTRATION,SD,Joseph,6/25/24,6/25/24 7:36,6/25/24 11:52,6/25/24 12:31,6/25/24 16:03,,
40,ADMINISTRATION,SD,Joseph,6/26/24,6/26/24 7:33,6/26/24 11:52,6/26/24 12:26,6/26/24 16:02,,
40,ADMINISTRATION,SD,Joseph,7/16/24,7/16/24 7:32,7/16/24 12:08,7/16/24 12:44,7/16/24 16:06,,
40,ADMINISTRATION,SD,Joseph,2/29/24,2/29/24 7:35,2/29/24 11:48,2/29/24 12:18,2/29/24 16:00,,
40,ADMINISTRATION,SD,Joseph,8/12/24,8/12/24 7:36,8/12/24 11:59,8/12/24 12:32,8/12/24 16:03,,
40,ADMINISTRATION,SD,Joseph,7/9/24,7/9/24 7:35,7/9/24 11:50,7/9/24 12:26,7/9/24 16:04,,
40,ADMINISTRATION,SD,Joseph,8/7/24,8/7/24 7:37,8/7/24 11:55,8/7/24 12:28,8/7/24 16:03,,
40,ADMINISTRATION,SD,Joseph,6/14/24,6/14/24 7:37,6/14/24 11:55,6/14/24 12:28,6/14/24 17:07,,
40,ADMINISTRATION,SD,Joseph,4/15/24,4/15/24 7:36,4/15/24 11:55,4/15/24 12:24,4/15/24 16:14,,
40,ADMINISTRATION,SD,Joseph,5/8/24,5/8/24 7:40,5/8/24 11:57,5/8/24 12:29,5/8/24 15:58,,
40,ADMINISTRATION,SD,Joseph,5/16/24,5/16/24 7:44,5/16/24 12:31,5/16/24 13:04,5/16/24 16:02,,
40,ADMINISTRATION,SD,Joseph,3/5/24,3/5/24 7:37,3/5/24 11:47,3/5/24 12:20,3/5/24 15:59,,
